hit_rate: 0.268398268398
detections_dat: classifiers/scheme_8/detections.dat
info_dat: scripts/info.dat
img: n02802426_11890.jpg, tp:   1.00, fp:   0.00, tp%: 1.00
img: n03942813_352.jpg  , tp:   0.00, fp:  48.00, tp%: 0.00
img: n03267113_589.jpg  , tp:   1.00, fp:  56.00, tp%: 0.02
img: n03742019_3692.jpg , tp:   0.00, fp:  14.00, tp%: 0.00
img: n02882301_455.jpg  , tp:   2.00, fp:  74.00, tp%: 0.03
img: n03134739_1724.jpg , tp:   0.00, fp:  78.00, tp%: 0.00
img: n02799071_7126.jpg , tp:   1.00, fp: 123.00, tp%: 0.01
img: n02799071_352.jpg  , tp:   0.00, fp:  95.00, tp%: 0.00
img: n02799071_11291.jpg, tp:   0.00, fp:  22.00, tp%: 0.00
img: n03134739_206.jpg  , tp:   0.00, fp:  56.00, tp%: 0.00
img: n03942813_4594.jpg , tp:   0.00, fp:  58.00, tp%: 0.00
img: n02799071_2174.jpg , tp:   1.00, fp:  34.00, tp%: 0.03
img: n02799071_7765.jpg , tp:   0.00, fp:   3.00, tp%: 0.00
img: n04409515_2637.jpg , tp:   0.00, fp:  29.00, tp%: 0.00
img: n03134739_1741.jpg , tp:   0.00, fp:  61.00, tp%: 0.00
img: n03742019_7026.jpg , tp:   0.00, fp:  10.00, tp%: 0.00
img: n03134739_4416.jpg , tp:   0.00, fp:  85.00, tp%: 0.00
img: n02799071_5726.jpg , tp:   1.00, fp:  48.00, tp%: 0.02
img: n03742019_2668.jpg , tp:   0.00, fp:  24.00, tp%: 0.00
img: n02799071_9369.jpg , tp:   0.00, fp:  48.00, tp%: 0.00
img: n02802426_4040.jpg , tp:   0.00, fp:  52.00, tp%: 0.00
img: n02802426_11764.jpg, tp:   1.00, fp: 100.00, tp%: 0.01
img: n03942813_3468.jpg , tp:   0.00, fp:  73.00, tp%: 0.00
img: n03942813_8841.jpg , tp:   0.00, fp:  75.00, tp%: 0.00
img: n03721047_656.jpg  , tp:   1.00, fp:  92.00, tp%: 0.01
img: n03942813_3709.jpg , tp:   0.00, fp:  40.00, tp%: 0.00
img: n03721047_9523.jpg , tp:   1.00, fp:  68.00, tp%: 0.01
img: n04540053_9709.jpg , tp:   1.00, fp:  56.00, tp%: 0.02
img: n03982232_5971.jpg , tp:   1.00, fp:  69.00, tp%: 0.01
img: n03982232_8290.jpg , tp:   0.00, fp:  50.00, tp%: 0.00
img: n03721047_2214.jpg , tp:   0.00, fp:  63.00, tp%: 0.00
img: n02799071_27403.jpg, tp:   0.00, fp:  62.00, tp%: 0.00
img: n03134739_4469.jpg , tp:   0.00, fp:  16.00, tp%: 0.00
img: n03134739_9388.jpg , tp:   0.00, fp:  33.00, tp%: 0.00
img: n04540053_2131.jpg , tp:   0.00, fp:  69.00, tp%: 0.00
img: n04409515_19377.jpg, tp:   1.00, fp:  78.00, tp%: 0.01
img: n02802426_1167.jpg , tp:   0.00, fp:  77.00, tp%: 0.00
img: n03742019_4283.jpg , tp:   1.00, fp:  51.00, tp%: 0.02
img: n02799071_5299.jpg , tp:   4.00, fp:  87.00, tp%: 0.04
img: n03145719_1044.jpg , tp:   1.00, fp:  38.00, tp%: 0.03
img: n03721047_250.jpg  , tp:   1.00, fp:  74.00, tp%: 0.01
img: n02882301_1419.jpg , tp:   0.00, fp:  15.00, tp%: 0.00
img: n04540053_3782.jpg , tp:   0.00, fp:  65.00, tp%: 0.00
img: n02799071_2663.jpg , tp:   1.00, fp:  54.00, tp%: 0.02
img: n03982232_540.jpg  , tp:   0.00, fp:  73.00, tp%: 0.00
img: n02799071_10481.jpg, tp:   0.00, fp:  29.00, tp%: 0.00
img: n03134739_711.jpg  , tp:   0.00, fp:  54.00, tp%: 0.00
img: n02802426_7865.jpg , tp:   1.00, fp:  58.00, tp%: 0.02
img: n03134739_3468.jpg , tp:   1.00, fp: 153.00, tp%: 0.01
img: n03942813_7780.jpg , tp:   0.00, fp:  68.00, tp%: 0.00
img: n04540053_1470.jpg , tp:   0.00, fp:  62.00, tp%: 0.00
img: n02802426_6147.jpg , tp:   0.00, fp:  20.00, tp%: 0.00
img: n04540053_3485.jpg , tp:   0.00, fp:  59.00, tp%: 0.00
img: n04409515_2591.jpg , tp:   0.00, fp:  97.00, tp%: 0.00
img: n03742019_7523.jpg , tp:   0.00, fp:   7.00, tp%: 0.00
img: n02802426_580.jpg  , tp:   1.00, fp:  86.00, tp%: 0.01
img: n02802426_9099.jpg , tp:   0.00, fp:  50.00, tp%: 0.00
img: n03742019_6763.jpg , tp:   1.00, fp:  26.00, tp%: 0.04
img: n03942813_9001.jpg , tp:   0.00, fp:  56.00, tp%: 0.00
img: n02799071_7426.jpg , tp:   0.00, fp:  47.00, tp%: 0.00
img: n02802426_7562.jpg , tp:   0.00, fp:  83.00, tp%: 0.00
img: n03267113_3295.jpg , tp:   1.00, fp:  10.00, tp%: 0.09
img: n04409515_6495.jpg , tp:   1.00, fp:  45.00, tp%: 0.02
img: n02802426_2744.jpg , tp:   0.00, fp: 104.00, tp%: 0.00
img: n02799071_5419.jpg , tp:   0.00, fp: 103.00, tp%: 0.00
img: n03134739_7389.jpg , tp:   1.00, fp: 126.00, tp%: 0.01
hit_rate: 0.268398268398
